variable,category_value,total_count,category_rate,high_income_count,high_income_rate_within_group,share_of_all_high_income,is_rare
workclass,(Missing),1836,0.05642806650889756,191,0.10403050108932461,0.02436535272356168,False
workclass,Federal-gov,960,0.02950487137720134,371,0.38645833333333335,0.047327465237913,False
workclass,Local-gov,2093,0.0643267664505025,617,0.29479216435738176,0.07870901900752647,False
workclass,Never-worked,7,0.00021513968712542645,0,0.0,0.0,True
workclass,Private,22673,0.6968374465992563,4961,0.21880650994575046,0.6328613343538717,False
workclass,Self-emp-inc,1116,0.034299412975996556,622,0.557347670250896,0.07934685546625846,False
workclass,Self-emp-not-inc,2540,0.07806497218551188,724,0.28503937007874014,0.09235871922439087,False
workclass,State-gov,1298,0.03989304484125764,353,0.27195685670261943,0.045031253986477865,False
workclass,Without-pay,14,0.0004302793742508529,0,0.0,0.0,True
education,10th,933,0.02867504686971755,62,0.06645230439442658,0.007909172088276566,False
education,11th,1175,0.03611273319605372,60,0.05106382978723404,0.007654037504783774,False
education,12th,433,0.013307926360758521,33,0.07621247113163972,0.004209720627631076,False
education,1st-4th,166,0.005101884008974399,6,0.03614457831325301,0.0007654037504783774,False
education,5th-6th,332,0.010203768017948797,16,0.04819277108433735,0.0020410766679423396,False
education,7th-8th,645,0.01982358545655715,40,0.06201550387596899,0.005102691669855849,False
education,9th,514,0.015797399883209884,27,0.05252918287937743,0.003444316877152698,False
education,Assoc-acdm,1067,0.03279343516611857,265,0.24835988753514526,0.033805332312795,False
education,Assoc-voc,1382,0.042474721086762764,361,0.26121562952243127,0.046051792320449036,False
education,Bachelors,5353,0.1645203921689154,2221,0.41490752848869794,0.283326954968746,False
education,Doctorate,413,0.01269324154040016,306,0.7409200968523002,0.03903559127439724,False
education,HS-grad,10494,0.32252512524203214,1674,0.1595197255574614,0.21354764638346727,False
education,Masters,1722,0.0529243630328549,959,0.556910569105691,0.12233703278479398,False
education,Preschool,50,0.0015367120508959031,0,0.0,0.0,True
education,Prof-school,576,0.017702922826320803,423,0.734375,0.0539609644087256,False
education,Some-college,7282,0.22380674309247933,1386,0.1903323262839879,0.17680826636050517,False
marital-status,Divorced,4441,0.1364907643605741,463,0.10425579824363881,0.05906365607858145,False
marital-status,Married-AF-spouse,23,0.0007068875434121154,10,0.43478260869565216,0.0012756729174639623,True
marital-status,Married-civ-spouse,14970,0.4600915880382334,6690,0.4468937875751503,0.8534251817833908,False
marital-status,Married-spouse-absent,418,0.01284691274548975,34,0.08133971291866028,0.004337287919377471,False
marital-status,Never-married,10667,0.32784214893813196,491,0.046029811568388486,0.06263554024748054,False
marital-status,Separated,1025,0.03150259704336601,66,0.06439024390243903,0.008419441255262151,False
marital-status,Widowed,993,0.030519101330792636,85,0.08559919436052367,0.010843219798443679,False
occupation,(Missing),1843,0.05664320619602299,191,0.10363537710255019,0.02436535272356168,False
occupation,Adm-clerical,3768,0.11580662015551527,507,0.13455414012738853,0.06467661691542288,False
occupation,Armed-Forces,9,0.00027660816916126254,1,0.1111111111111111,0.00012756729174639623,True
occupation,Craft-repair,4094,0.12582598272735654,929,0.22691744015632634,0.11851001403240209,False
occupation,Exec-managerial,4065,0.12493468973783692,1968,0.4841328413284133,0.25105243015690776,False
occupation,Farming-fishing,992,0.030488367089774718,115,0.1159274193548387,0.014670238550835565,False
occupation,Handlers-cleaners,1369,0.04207517595352983,86,0.06281957633308985,0.010970787090190075,False
occupation,Machine-op-inspct,2000,0.061468482035836124,249,0.1245,0.03176425564485266,False
occupation,Other-service,3291,0.10114638718996834,137,0.041628684290489215,0.01747671896925628,False
occupation,Priv-house-serv,147,0.004517933429633955,1,0.006802721088435374,0.00012756729174639623,False
occupation,Prof-specialty,4136,0.1271168208501091,1858,0.44922630560928434,0.23702002806480418,False
occupation,Protective-serv,649,0.01994652242062882,211,0.325115562403698,0.026916698558489605,False
occupation,Sales,3650,0.11217997971540093,983,0.2693150684931507,0.12539864778670748,False
occupation,Tech-support,927,0.028490641423610043,283,0.30528586839266453,0.036101543564230135,False
occupation,Transport-moving,1597,0.049082582905615145,320,0.20037570444583594,0.04082153335884679,False
relationship,Husband,13187,0.4052924363032855,5916,0.4486236444983696,0.75468809797168,False
relationship,Not-in-family,8292,0.2548483265205766,856,0.10323203087313072,0.10919760173491516,False
relationship,Other-relative,981,0.03015029043857762,37,0.03771661569826707,0.004719989794616661,False
relationship,Own-child,5064,0.15563819651473706,67,0.013230647709320696,0.008547008547008548,False
relationship,Unmarried,3445,0.10587946030672772,218,0.06328011611030479,0.027809669600714376,False
relationship,Wife,1568,0.048191289916095524,745,0.47512755102040816,0.09503763235106519,False
race,Amer-Indian-Eskimo,311,0.009558348956572517,36,0.1157556270096463,0.004592422502870264,False
race,Asian-Pac-Islander,1038,0.03190214217659895,276,0.2658959537572254,0.035208572522005356,False
race,Black,3122,0.09595230045794019,387,0.12395900064061499,0.04936854190585534,False
race,Other,271,0.008328979315855795,25,0.09225092250922509,0.0031891822936599055,False
race,White,27795,0.8542582290930325,7115,0.2559812915992085,0.9076412807756091,False
sex,Female,10762,0.33076190183483417,1179,0.1095521278572756,0.15040183696900114,False
sex,Male,21775,0.6692380981651658,6660,0.3058553386911596,0.8495981630309989,False
native-country,(Missing),582,0.017887328272428313,146,0.2508591065292096,0.01862482459497385,False
native-country,Cambodia,19,0.0005839505793404432,7,0.3684210526315789,0.0008929710422247736,True
native-country,Canada,121,0.0037188431631680857,39,0.32231404958677684,0.004975124378109453,False
native-country,China,75,0.002305068076343855,20,0.26666666666666666,0.0025513458349279245,True
native-country,Columbia,59,0.0018133202200571656,2,0.03389830508474576,0.00025513458349279245,True
native-country,Cuba,95,0.002919752896702216,25,0.2631578947368421,0.0031891822936599055,True
native-country,Dominican-Republic,70,0.0021513968712542643,2,0.02857142857142857,0.00025513458349279245,True
native-country,Ecuador,28,0.0008605587485017058,4,0.14285714285714285,0.0005102691669855849,True
native-country,El-Salvador,106,0.0032578295478993147,9,0.08490566037735849,0.001148105625717566,False
native-country,England,90,0.0027660816916126258,30,0.3333333333333333,0.003827018752391887,True
native-country,France,29,0.0008912929895196238,12,0.41379310344827586,0.0015308075009567547,True
native-country,Germany,137,0.004210591019454774,44,0.32116788321167883,0.005612960836841434,False
native-country,Greece,29,0.0008912929895196238,8,0.27586206896551724,0.0010205383339711698,True
native-country,Guatemala,62,0.0019055229431109199,3,0.04838709677419355,0.0003827018752391887,True
native-country,Haiti,44,0.0013523066047883947,4,0.09090909090909091,0.0005102691669855849,True
native-country,Holand-Netherlands,1,3.073424101791806e-05,0,0.0,0.0,True
native-country,Honduras,13,0.0003995451332329348,1,0.07692307692307693,0.00012756729174639623,True
native-country,Hong,20,0.0006146848203583612,6,0.3,0.0007654037504783774,True
native-country,Hungary,13,0.0003995451332329348,3,0.23076923076923078,0.0003827018752391887,True
native-country,India,100,0.0030734241017918063,40,0.4,0.005102691669855849,False
native-country,Iran,43,0.0013215723637704767,18,0.4186046511627907,0.002296211251435132,True
