variable,income,count,mean,median,std
age,<=50K,24698,36.78739169163495,34.0,14.017334627959265
age,>50K,7839,44.25092486286516,44.0,10.52010208815648
fnlwgt,<=50K,24698,190345.92679569195,179465.0,106487.41319700955
fnlwgt,>50K,7839,188000.4806735553,176063.0,102554.4641013492
education-num,<=50K,24698,9.596080654303993,9.0,2.434654355609576
education-num,>50K,7839,11.612195433090955,12.0,2.3851809790253458
capital-gain,<=50K,24698,148.88497044295084,0.0,963.5579551617344
capital-gain,>50K,7839,4007.164561806353,0.0,14572.097222564007
capital-loss,<=50K,24698,53.19025832051178,0.0,310.8900987153078
capital-loss,>50K,7839,195.05128205128204,0.0,595.555395460047
hours-per-week,<=50K,24698,38.84286177018382,40.0,12.318286277078826
hours-per-week,>50K,7839,45.473402219670874,40.0,11.014165438727588
